,note_name,start_time,duration,velocity,tempo
161,A2,75.768,29/125,43,120.0
162,A3,75.768,29/125,89,120.0
163,C#4,75.768,29/125,89,120.0
164,E3,75.864,17/125,82,120.0
165,E3,76.0,441/1000,82,120.0
166,A2,76.0,141/1000,43,120.0
167,A3,76.0,58/125,89,120.0
168,C#4,76.0,58/125,89,120.0
169,B3,76.977,111/200,90,120.0
170,G2,76.977,139/200,82,120.0
171,D3,76.977,139/200,82,120.0
172,G3,76.977,139/200,82,120.0
173,B3,77.532,121/200,100,120.0
174,G2,77.673,327/1000,63,120.0
175,D3,77.673,58/125,90,120.0
176,G3,77.673,58/125,90,120.0
177,G3,78.136,407/500,86,120.0
178,B3,78.136,7/10,90,120.0
179,D3,78.136,7/10,90,120.0
180,G4,78.159,61/200,38,120.0
181,G2,79.3,7/10,74,120.0
182,G3,79.3,7/10,74,120.0
183,B3,79.3,121/200,83,120.0
184,D3,79.3,121/200,83,120.0
185,C#4,79.973,27/1000,92,120.0
186,C#4,80.0,69/200,92,120.0
187,G2,80.0,23/1000,74,120.0
188,G3,80.0,23/1000,74,120.0
189,C#4,80.345,121/200,87,120.0
190,D3,80.345,121/200,87,120.0
191,G3,80.345,121/200,87,120.0
192,G2,80.927,267/250,69,120.0
193,D3,80.95,139/200,84,120.0
194,B3,80.95,139/200,84,120.0
195,G3,80.973,121/200,76,120.0
196,G3,81.577,241/200,59,120.0
197,G2,83.741,259/1000,76,120.0
198,G3,83.741,259/1000,76,120.0
199,B3,83.741,259/1000,82,120.0
200,D3,83.741,259/1000,82,120.0
201,G2,84.0,759/1000,76,120.0
202,G3,84.0,759/1000,76,120.0
203,B3,84.0,46/125,82,120.0
204,D3,84.0,46/125,82,120.0
205,C#4,84.25,291/500,79,120.0
206,G2,84.832,383/250,85,120.0
207,B3,84.832,673/1000,75,120.0
208,D4,84.832,577/1000,61,120.0
209,G3,84.855,46/125,46,120.0
210,C#4,85.527,69/200,47,120.0
211,B2,86.059,149/200,85,120.0
212,F#3,86.059,149/200,85,120.0
213,B3,86.082,67/125,63,120.0
214,C#4,86.732,209/500,93,120.0
215,B3,87.127,677/1000,82,120.0
216,C#4,87.127,677/1000,82,120.0
217,F#3,87.15,773/1000,90,120.0
218,F#4,87.359,61/200,44,120.0
219,B3,88.291,7/10,90,120.0
220,F#3,88.314,96/125,92,120.0
221,F#4,88.523,373/1000,45,120.0
222,C#4,88.991,209/500,96,120.0
223,B3,89.382,673/1000,84,120.0
224,F#3,89.382,673/1000,84,120.0
225,C#4,89.382,673/1000,84,120.0
226,F#4,89.545,441/1000,45,120.0
227,B2,90.545,279/200,72,120.0
228,F#3,90.545,741/1000,95,120.0
229,B3,90.545,13/20,74,120.0
230,G2,93.382,111/200,80,120.0
231,B3,93.382,111/200,80,120.0
232,G3,93.382,111/200,80,120.0
233,D4,93.382,111/200,80,120.0
234,B3,93.936,491/1000,76,120.0
235,D4,93.936,491/1000,76,120.0
236,G2,93.936,491/1000,76,120.0
237,G3,93.959,441/1000,73,120.0
238,A2,94.495,121/200,77,120.0
239,A3,94.495,121/200,77,120.0
240,C#4,94.495,121/200,77,120.0
241,E4,94.518,277/1000,50,120.0
242,A3,95.1,673/1000,68,120.0
243,A2,95.1,291/500,92,120.0
244,C#4,95.1,291/500,92,120.0
245,A2,95.659,341/1000,66,120.0
246,E4,95.659,341/1000,70,120.0
247,C#4,95.659,341/1000,70,120.0
248,A3,95.773,227/1000,96,120.0
249,A3,96.0,191/1000,96,120.0
250,A2,96.0,4/125,66,120.0
251,E4,96.0,191/1000,70,120.0
252,C#4,96.0,191/1000,70,120.0
253,A3,96.191,559/1000,83,120.0
254,C#4,96.191,559/1000,83,120.0
255,E4,96.191,559/1000,83,120.0
256,A3,96.773,559/1000,83,120.0
257,C#4,96.773,559/1000,83,120.0
258,E4,96.773,559/1000,83,120.0
259,A2,97.332,3/10,44,120.0
260,A3,97.332,577/1000,85,120.0
261,C#4,97.332,577/1000,85,120.0
262,E4,97.332,577/1000,85,120.0
263,A3,97.886,291/500,83,120.0
264,C#4,97.886,291/500,83,120.0
265,E4,97.886,291/500,83,120.0
266,A3,98.468,559/1000,89,120.0
267,C#4,98.468,559/1000,89,120.0
268,E4,98.468,559/1000,89,120.0
269,A3,99.027,67/125,86,120.0
270,C#4,99.027,67/125,86,120.0
271,E4,99.027,67/125,86,120.0
272,A3,99.564,109/250,88,120.0
273,C#4,99.564,109/250,88,120.0
274,E4,99.564,109/250,88,120.0
275,A3,100.0,59/500,88,120.0
276,C#4,100.0,59/500,88,120.0
277,E4,100.0,59/500,88,120.0
278,A3,100.118,559/1000,86,120.0
279,C#4,100.118,559/1000,86,120.0
280,E4,100.118,559/1000,86,120.0
281,A3,100.7,111/200,88,120.0
282,C#4,100.7,111/200,88,120.0
283,E4,100.7,111/200,88,120.0
284,A3,101.255,291/500,83,120.0
285,C#4,101.255,291/500,83,120.0
286,E4,101.255,291/500,83,120.0
287,A2,101.441,373/1000,46,120.0
288,A3,101.814,559/1000,58,120.0
289,E4,101.814,559/1000,58,120.0
290,A2,101.836,1677/1000,93,120.0
291,C#4,101.836,58/125,67,120.0
292,E4,102.395,209/500,61,120.0
293,A3,102.395,111/200,60,120.0
294,C#4,102.395,111/200,60,120.0
295,A3,102.95,67/125,41,120.0
296,C#4,102.95,377/1000,73,120.0
297,E4,102.95,61/200,49,120.0
298,A3,103.486,257/500,91,120.0
299,D4,103.486,257/500,91,120.0
300,F#4,103.486,257/500,91,120.0
301,A2,103.514,209/500,72,120.0
302,A3,104.0,41/1000,91,120.0
303,D4,104.0,41/1000,91,120.0
304,F#4,104.0,41/1000,91,120.0
305,D3,104.045,791/1000,77,120.0
306,A3,104.045,67/125,68,120.0
307,D4,104.045,67/125,68,120.0
308,F#4,104.045,67/125,68,120.0
309,A3,104.605,3/5,88,120.0
310,D4,104.605,3/5,88,120.0
311,F#4,104.605,3/5,88,120.0
312,D4,105.182,67/125,93,120.0
313,A3,105.182,67/125,93,120.0
314,F#4,105.182,67/125,93,120.0
