0.3,0.59,293.66
0.3,0.59,246.94
0.3,0.59,392.0
0.3,0.59,98.0
0.67,1.86,246.94
0.67,1.86,77.78
0.67,1.86,392.0
0.67,1.86,311.13
1.94,2.44,77.78
1.94,2.36,392.0
1.94,2.36,311.13
1.94,2.36,246.94
2.49,3.62,329.63
2.49,3.62,293.66
2.49,3.62,246.94
2.49,3.62,123.47
3.74,4.0,246.94
3.74,4.0,392.0
3.74,4.0,293.66
3.74,4.0,98.0
4.0,4.01,246.94
4.0,4.01,392.0
4.0,4.01,293.66
4.0,4.01,98.0
4.07,4.48,246.94
4.07,4.48,440.0
4.07,4.48,311.13
4.08,8.0,110.0
4.67,4.8,311.13
4.67,4.8,246.94
4.67,4.8,440.0
5.18,5.34,440.0
5.18,5.34,246.94
5.18,5.34,311.13
5.64,5.8,246.94
5.64,5.8,440.0
5.64,5.8,311.13
6.12,6.33,246.94
6.12,6.33,440.0
6.12,6.33,311.13
6.62,6.83,246.94
6.62,6.83,440.0
6.62,6.83,311.13
7.15,7.39,440.0
7.15,7.39,246.94
7.15,7.39,311.13
7.64,7.85,246.94
7.64,7.85,440.0
7.64,7.85,311.13
8.0,9.18,110.0
8.12,8.36,246.94
8.12,8.36,311.13
8.12,8.36,440.0
8.6,8.88,246.94
8.6,8.95,311.13
8.6,8.95,440.0
10.03,12.0,123.47
10.03,10.2,293.66
10.03,10.2,246.94
10.03,10.2,164.81
10.4,10.68,293.66
10.4,10.68,164.81
10.4,10.68,246.94
10.88,11.22,293.66
10.88,11.22,246.94
10.88,11.22,164.81
11.92,12.0,246.94
11.92,12.0,164.81
11.92,12.0,293.66
12.0,16.99,123.47
12.0,12.16,246.94
12.0,12.16,164.81
12.0,12.16,293.66
12.4,12.65,164.81
12.4,12.65,293.66
12.4,12.65,246.94
12.9,13.17,164.81
12.9,13.17,293.66
12.9,13.17,246.94
13.4,13.8,164.81
13.4,13.96,246.94
13.4,13.96,246.94
14.49,14.93,246.94
14.49,15.3,246.94
14.49,14.82,164.81
15.0,15.2,293.66
15.0,15.2,164.81
15.5,15.91,293.66
15.5,15.91,164.81
15.5,15.91,246.94
16.99,17.33,246.94
16.99,17.23,164.81
16.99,17.23,246.94
17.49,17.83,246.94
17.49,17.83,293.66
17.49,17.83,164.81
17.49,17.83,293.66
18.02,20.5,110.0
18.02,18.05,220.0
18.02,18.05,155.56
18.02,18.05,293.66
18.25,18.49,220.0
18.25,18.49,293.66
18.25,18.49,155.56
18.75,19.01,155.56
18.75,19.01,293.66
18.75,19.01,220.0
19.25,19.57,155.56
19.25,19.57,246.94
19.25,19.57,220.0
19.86,20.09,246.94
19.86,20.09,220.0
19.86,20.09,155.56
20.15,20.52,246.94
20.15,20.52,155.56
20.15,20.52,220.0
20.55,20.99,110.0
20.55,20.6,246.94
20.55,20.6,220.0
20.55,20.6,155.56
20.73,20.99,220.0
20.73,20.99,155.56
20.73,20.99,246.94
20.99,23.33,110.0
20.99,21.0,220.0
20.99,21.0,155.56
20.99,21.0,246.94
21.26,21.5,155.56
21.26,21.57,246.94
21.26,21.57,220.0
21.76,22.31,246.94
21.76,22.31,155.56
21.76,22.31,220.0
22.7,22.93,155.56
22.7,22.93,246.94
22.7,22.93,220.0
22.96,23.25,220.0
22.96,23.25,246.94
22.96,23.25,155.56
23.44,24.99,98.0
23.44,23.65,246.94
23.44,23.65,146.83
23.44,23.65,196.0
23.8,24.06,196.0
23.8,24.06,146.83
23.8,24.06,246.94
24.33,24.57,246.94
24.33,24.57,196.0
24.33,24.57,146.83
24.99,25.02,98.0
25.33,25.43,246.94
25.34,25.54,146.83
25.34,25.54,196.0
25.34,25.54,246.94
25.35,26.23,98.0
25.88,26.21,146.83
25.88,26.21,246.94
25.88,26.21,196.0
26.41,27.57,246.94
26.41,27.57,196.0
26.41,27.57,146.83
26.41,27.57,98.0
28.32,28.84,246.94
28.32,28.84,196.0
28.32,28.84,146.83
28.34,28.99,98.0
28.8,28.99,246.94
28.99,29.1,98.0
28.99,29.02,246.94
29.3,29.57,196.0
29.3,29.57,246.94
29.3,29.65,293.66
29.3,29.65,98.0
29.67,29.93,164.81
29.67,29.93,246.94
29.68,32.56,123.47
29.73,29.99,246.94
30.26,30.66,246.94
30.26,30.66,246.94
30.26,30.66,164.81
31.29,31.88,164.81
31.29,31.88,246.94
31.75,31.99,246.94
32.24,32.52,246.94
32.24,32.52,246.94
32.25,32.49,164.81
33.25,33.55,246.94
33.25,33.55,164.81
33.25,33.55,123.47
169.69,172.0,32.7
172.0,176.0,32.7
176.0,180.0,32.7
180.0,184.0,32.7
184.0,188.0,32.7
188.0,192.0,32.7
192.0,196.0,32.7
196.0,200.0,32.7
200.0,204.0,32.7
204.0,208.0,32.7
208.0,212.0,32.7
212.0,216.0,32.7
216.0,220.0,32.7
220.0,224.0,32.7
224.0,228.0,32.7
228.0,232.0,32.7
232.0,236.0,32.7
236.0,240.0,32.7
240.0,244.0,32.7
244.0,248.0,32.7
248.0,252.0,32.7
252.0,256.0,32.7
256.0,260.0,32.7
260.0,264.0,32.7
264.0,268.0,32.7
